model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
NonSPRuleSystem,5,1,1,train,0.200472876,nan,0.171766579,0,0.462167293,0.593913555,0.001077637,0.200472876
NonSPRuleSystem,5,1,1,test,0.198376626,nan,0.169312522,0,0.456702888,0.059582949,0.001078125,0.198376626
PercentileRuleSystem,5,1,1,train,0.202087596,nan,0.17044732,0,0.459787488,0.196063519,0.001070313,0.202087596
PercentileRuleSystem,5,1,1,test,0.200320378,nan,0.169564962,0,0.457356572,0.054237604,0.001068359,0.200320378
MoulinNetSystem,5,1,1,train,0.201285526,nan,0.170719519,0.00060447,0.460750103,2.280373096,0.017740234,0.201285526
MoulinNetSystem,5,1,1,test,0.200661704,nan,0.169589669,0.001092922,0.457385629,0.054483414,0.009608398,0.200661704
RegretNetSystem,5,1,1,train,0.21671921,0.002202367,0.161653966,0.023496209,0.457897097,48.55446196,0.136548828,0.21671921
RegretNetSystem,5,1,1,test,0.215546146,0.002594989,0.161722645,0.022718467,0.456039369,0.124453068,0.128368164,0.215546146
NonSPRuleSystem,5,2,1,train,0.070835374,nan,0.079924457,0,0.20318003,0.15811348,0.00110498,0.070835374
NonSPRuleSystem,5,2,1,test,0.070891157,nan,0.079998598,0,0.203239173,0.063384771,0.00110498,0.070891157
PercentileRuleSystem,5,2,1,train,0.082715042,nan,0.09478908,0,0.240249351,0.154270411,0.001093262,0.082715042
PercentileRuleSystem,5,2,1,test,0.082796425,nan,0.093832523,0,0.23731637,0.048116446,0.001091309,0.082796425
MoulinNetSystem,5,2,1,train,0.083807983,nan,0.084461279,0.001598631,0.223431289,2.600560665,0.018083496,0.083807983
MoulinNetSystem,5,2,1,test,0.083610535,nan,0.082476407,0.001854333,0.218355656,0.055232525,0.00995166,0.083610535
RegretNetSystem,5,2,1,train,0.095223963,0.004850768,0.091899462,0.006082537,0.242252484,50.12318707,0.136552734,inf
RegretNetSystem,5,2,1,test,0.092062622,0.002764082,0.091692008,0.003377143,0.239538848,0.072991133,0.12837207,0.092062622
NonSPRuleSystem,5,3,1,train,0.027721511,nan,0.039746962,0,0.09737511,0.148241043,0.001131836,0.027721511
NonSPRuleSystem,5,3,1,test,0.027344672,nan,0.039179474,0,0.095757492,0.054347038,0.001131836,0.027344672
PercentileRuleSystem,5,3,1,train,0.032376487,nan,0.048941582,0,0.121673755,0.150123119,0.001116211,0.032376487
PercentileRuleSystem,5,3,1,test,0.033247206,nan,0.05008889,0,0.124529615,0.044883966,0.001114258,0.033247206
MoulinNetSystem,5,3,1,train,0.034211632,nan,0.048199546,1.27E-05,0.121644132,2.732801914,0.018428223,0.034211632
MoulinNetSystem,5,3,1,test,0.034353219,nan,0.048360545,2.09E-05,0.122013465,0.058523417,0.01029541,0.034353219
RegretNetSystem,5,3,1,train,0.064618461,0.008092794,0.051656488,0.005025534,0.141047761,45.5603404,0.136556641,inf
RegretNetSystem,5,3,1,test,0.081786275,0.008114292,0.041188452,0.026221441,0.136820063,0.072942257,0.128375977,inf
NonSPRuleSystem,5,4,1,train,0.008225476,nan,0.016450953,0,0.04112738,0.139892817,0.001177246,0.008225476
NonSPRuleSystem,5,4,1,test,0.008205803,nan,0.016411606,0,0.041029017,0.058069468,0.001177246,0.008205803
PercentileRuleSystem,5,4,1,train,0.016737126,nan,0.033474252,0,0.083685629,0.14267683,0.001157715,0.016737126
PercentileRuleSystem,5,4,1,test,0.016521737,nan,0.033043474,0,0.082608677,0.046929598,0.001155762,0.016521737
MoulinNetSystem,5,4,1,train,0.018228352,nan,0.031986866,1.23E-05,0.080555655,2.63443923,0.018771484,0.018228352
MoulinNetSystem,5,4,1,test,0.018280182,nan,0.031818498,0,0.080113746,0.067241192,0.010638672,0.018280182
RegretNetSystem,5,4,1,train,0.047546495,0.005719061,0.034939937,0.005530394,0.09862119,46.0518012,0.136562012,inf
RegretNetSystem,5,4,1,test,0.061786033,0.005044946,0.031208385,0.020164048,0.103900284,0.082193375,0.128380371,inf
NonSPRuleSystem,5,3,1,train,0.027861202,nan,0.039992467,0,0.097956352,3.663425207,0.001131348,0.027861202
NonSPRuleSystem,5,3,1,test,0.027895389,nan,0.039591797,0,0.096590467,0.061823606,0.001131836,0.027895389
PercentileRuleSystem,5,3,1,train,0.032809075,nan,0.049752366,0,0.123765014,0.578240395,0.001116211,0.032809075
PercentileRuleSystem,5,3,1,test,0.033572372,nan,0.050335106,0,0.124990344,0.045286417,0.001114258,0.033572372
MoulinNetSystem,5,3,1,train,0.045941301,nan,0.064652234,6.76E-05,0.162942261,2.590165138,0.018428223,0.045941301
MoulinNetSystem,5,3,1,test,0.045239363,nan,0.062972233,6.02E-05,0.158986747,0.062202692,0.01029541,0.045239363
RegretNetSystem,5,3,1,train,0.08366783,3.78E-07,0.041211076,0.028186748,0.138795346,50.70685291,0.136556641,0.08366783
RegretNetSystem,5,3,1,test,0.082890645,1.94E-07,0.041371278,0.027559731,0.138537377,0.075398922,0.128375977,0.082890645
NonSPRuleSystem,5,4,1,train,0.008177689,nan,0.016355379,0,0.040888444,0.146351099,0.001177246,0.008177689
NonSPRuleSystem,5,4,1,test,0.008311486,nan,0.016622972,0,0.041557431,0.053423882,0.001177246,0.008311486
PercentileRuleSystem,5,4,1,train,0.016755421,nan,0.033510841,0,0.0837771,0.157916307,0.001157715,0.016755421
PercentileRuleSystem,5,4,1,test,0.016655855,nan,0.03331171,0,0.083279282,0.048703432,0.001155762,0.016655855
MoulinNetSystem,5,4,1,train,0.019550931,nan,0.02712201,0.000104151,0.068467639,2.685515165,0.018771973,0.019550931
MoulinNetSystem,5,4,1,test,0.019584412,nan,0.026994804,5.59E-05,0.068130858,0.065124512,0.010638672,0.019584412
