model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.069929317,0.00122389,1,0.024199372,0.127147272,78.5098598,0.808398438,0.069929317
RegretNetSystem,5,1,1,test,0.067902602,0.001560775,1,0.022548772,0.125027314,0.018499613,0.644560547,0.067902602
RegretNetSystem,5,2,1,train,0.024138369,0.00274822,1,0.00755331,0.042661376,76.22520375,0.808476563,0.024138369
RegretNetSystem,5,2,1,test,0.024368076,0.003668088,1,0.007370406,0.045332745,0.017898083,0.644638672,inf
RegretNetSystem,5,3,1,train,0.011807102,0.002139337,1,0.003273973,0.022504728,75.45324254,0.808554688,0.011807102
RegretNetSystem,5,3,1,test,0.012833313,0.003278198,1,0.00354931,0.02494617,0.017806768,0.644716797,inf
RegretNetSystem,5,4,1,train,0.010184403,0.002633106,1,0.003380937,0.017983373,75.52806044,0.808662109,0.010184403
RegretNetSystem,5,4,1,test,0.009616328,0.002407081,1,0.002274187,0.018856155,0.016851902,0.644804688,0.009616328
MoulinNetSystem,5,1,1,train,0.062596664,nan,1,0.005494966,0.134111688,65.63299584,0.339628906,0.062596664
MoulinNetSystem,5,1,1,test,0.060008191,nan,1,0.006575671,0.129764289,0.056868076,0.176875,0.060008191
MoulinNetSystem,5,2,1,train,0.022352336,nan,1,3.09E-06,0.055164762,59.85251236,0.346445313,0.022352336
MoulinNetSystem,5,2,1,test,0.020715855,nan,1,0,0.056313824,0.05450654,0.183691406,0.020715855
MoulinNetSystem,5,3,1,train,0.009787893,nan,1,0,0.031395189,65.41046357,0.353300781,0.009787893
MoulinNetSystem,5,3,1,test,0.009723588,nan,1,0,0.03116831,0.056755543,0.190527344,0.009723588
MoulinNetSystem,5,4,1,train,0.004398331,nan,1,0,0.021895949,61.91381073,0.360166016,0.004398331
MoulinNetSystem,5,4,1,test,0.004135958,nan,1,0,0.020560402,0.048464775,0.197392578,0.004135958
PercentileRuleSystem,5,1,1,train,0.064292349,nan,1,0,0.138686255,0.144242048,0.006708984,0.064292349
PercentileRuleSystem,5,1,1,test,0.064129785,nan,1,0,0.135901585,0.031525135,0.006542969,0.064129785
DictatorRuleSystem,5,1,1,train,0.075779349,nan,1,0,0.168695599,0.132729292,0.006748047,0.075779349
DictatorRuleSystem,5,1,1,test,0.074038558,nan,1,0,0.163282871,0.058064938,0.006582031,0.074038558
ConstantRuleSystem,5,1,1,train,0.073328778,nan,1,0.024281416,0.13698113,0.187641859,0.006025391,0.073328778
ConstantRuleSystem,5,1,1,test,0.072095186,nan,1,0.023343442,0.135305762,0.031540871,0.005859375,0.072095186
PercentileRuleSystem,5,2,1,train,0.020275755,nan,1,0,0.058583722,0.14781189,0.006601563,0.020275755
PercentileRuleSystem,5,2,1,test,0.020129776,nan,1,0,0.058385916,0.036597967,0.006435547,0.020129776
DictatorRuleSystem,5,2,1,train,0.033831749,nan,1,0,0.101079822,0.143202543,0.006640625,0.033831749
DictatorRuleSystem,5,2,1,test,0.033832252,nan,1,0,0.101246193,0.031841993,0.006474609,0.033832252
ConstantRuleSystem,5,2,1,train,0.060940482,nan,1,0.022089144,0.097230889,0.140435934,0.006523438,0.060940482
ConstantRuleSystem,5,2,1,test,0.060126774,nan,1,0.021315813,0.096935824,0.030207396,0.006357422,0.060126774
PercentileRuleSystem,5,3,1,train,0.009263853,nan,1,0,0.035168275,0.15069747,0.007177734,0.009263853
PercentileRuleSystem,5,3,1,test,0.009143651,nan,1,0,0.03427178,0.031091928,0.007011719,0.009143651
DictatorRuleSystem,5,3,1,train,0.016923226,nan,1,0,0.064298287,0.128648758,0.007216797,0.016923226
DictatorRuleSystem,5,3,1,test,0.01675274,nan,1,0,0.064166121,0.037033796,0.007050781,0.01675274
ConstantRuleSystem,5,3,1,train,0.032167528,nan,1,0.00919949,0.064398631,0.195606709,0.007041016,0.032167528
ConstantRuleSystem,5,3,1,test,0.032067344,nan,1,0.009484341,0.064663805,0.03245616,0.006875,0.032067344
PercentileRuleSystem,5,4,1,train,0.002901311,nan,1,0,0.014506555,0.136403799,0.008125,0.002901311
PercentileRuleSystem,5,4,1,test,0.002869709,nan,1,0,0.014348545,0.061506987,0.007958984,0.002869709
DictatorRuleSystem,5,4,1,train,0.00690563,nan,1,0,0.034528151,0.135993958,0.008164063,0.00690563
DictatorRuleSystem,5,4,1,test,0.006801198,nan,1,0,0.034005992,0.032159328,0.007998047,0.006801198
ConstantRuleSystem,5,4,1,train,0.028222421,nan,1,0.008836826,0.049106378,0.165582895,0.007958984,0.028222421
ConstantRuleSystem,5,4,1,test,0.028124699,nan,1,0.009049226,0.049684905,0.031036854,0.007792969,0.028124699
