model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.05586535111069679,0.0015239703934639692,1.0,0.004631510935723782,0.14472590386867523,90.74569511413574,0.8083984375,0.05586535111069679
RegretNetSystem,5,1,1,test,0.055381208658218384,0.0019620086532086134,1.0,0.004781989846378565,0.13994161784648895,0.01907062530517578,0.644560546875,0.055381208658218384
RegretNetSystem,5,2,1,train,0.02284063957631588,0.0010373933473601937,1.0,0.002190283965319395,0.062425561249256134,90.23941469192505,0.8084765625,0.02284063957631588
RegretNetSystem,5,2,1,test,0.022855542600154877,0.001354346633888781,1.0,0.0028057501185685396,0.06083335727453232,0.018622875213623047,0.644638671875,0.022855542600154877
RegretNetSystem,5,3,1,train,0.011652611196041107,0.0011759174522012472,1.0,0.0018890030914917588,0.029388612136244774,90.02613353729248,0.808515625,0.011652611196041107
RegretNetSystem,5,3,1,test,0.011674473062157631,0.00173461704980582,1.0,0.0018172732088714838,0.030178898945450783,0.018952131271362305,0.644755859375,0.011674473062157631
RegretNetSystem,5,4,1,train,0.0089553352445364,0.0007479347987100482,1.0,0.0016472929855808616,0.019843215122818947,90.27235746383667,0.808623046875,0.0089553352445364
RegretNetSystem,5,4,1,test,0.00952164176851511,0.0014627545606344938,1.0,0.0018759005470201373,0.020515648648142815,0.018710851669311523,0.64484375,0.00952164176851511
NonSPRuleSystem,5,1,1,train,0.054800741374492645,nan,1.0,0.0,0.14562785625457764,0.3962516784667969,0.16890625,0.054800741374492645
NonSPRuleSystem,5,1,1,test,0.054305799305438995,nan,1.0,0.0,0.1408170908689499,0.04038882255554199,0.16873046875,0.054305799305438995
PercentileRuleSystem,5,1,1,train,0.054800741374492645,nan,1.0,0.0,0.14562785625457764,0.15565037727355957,0.16873046875,0.054800741374492645
PercentileRuleSystem,5,1,1,test,0.054305799305438995,nan,1.0,0.0,0.1408170908689499,0.0346682071685791,0.006064453125,0.054305799305438995
DictatorRuleSystem,5,1,1,train,0.0762961134314537,nan,1.0,0.0,0.16799794137477875,0.1464519500732422,0.16876953125,0.0762961134314537
DictatorRuleSystem,5,1,1,test,0.07342076301574707,nan,1.0,0.0,0.16472898423671722,0.037764787673950195,0.006103515625,0.07342076301574707
ConstantRuleSystem,5,1,1,train,0.07332877814769745,nan,1.0,0.024281416088342667,0.13698112964630127,0.1094670295715332,0.168681640625,0.07332877814769745
ConstantRuleSystem,5,1,1,test,0.07209518551826477,nan,1.0,0.023343442007899284,0.1353057622909546,0.0402987003326416,0.006064453125,0.07209518551826477
MoulinNetSystem,5,1,1,train,0.054800741374492645,nan,1.0,0.0,0.14562785625457764,66.76249313354492,0.33974609375,0.054800741374492645
MoulinNetSystem,5,1,1,test,0.05433083325624466,nan,1.0,0.0001158465092885308,0.140758216381073,0.05847597122192383,0.176748046875,0.05433083325624466
NonSPRuleSystem,5,2,1,train,0.01892182230949402,nan,1.0,0.0,0.055355776101350784,0.6214110851287842,0.16939453125,0.01892182230949402
NonSPRuleSystem,5,2,1,test,0.018749384209513664,nan,1.0,0.0,0.0553736612200737,0.04366588592529297,0.16921875,0.018749384209513664
PercentileRuleSystem,5,2,1,train,0.02027575485408306,nan,1.0,0.0,0.05858372151851654,0.15222382545471191,0.169140625,0.02027575485408306
PercentileRuleSystem,5,2,1,test,0.020129775628447533,nan,1.0,0.0,0.05838591605424881,0.031716346740722656,0.006474609375,0.020129775628447533
DictatorRuleSystem,5,2,1,train,0.034755539149045944,nan,1.0,0.0,0.10564103722572327,0.14576411247253418,0.1691796875,0.034755539149045944
DictatorRuleSystem,5,2,1,test,0.03454311937093735,nan,1.0,0.0,0.10225193947553635,0.03378701210021973,0.006513671875,0.03454311937093735
ConstantRuleSystem,5,2,1,train,0.04847325384616852,nan,1.0,0.010831562802195549,0.11731353402137756,0.10163664817810059,0.169013671875,0.04847325384616852
ConstantRuleSystem,5,2,1,test,0.047651033848524094,nan,1.0,0.01094302348792553,0.11458239704370499,0.03765511512756348,0.006396484375,0.047651033848524094
MoulinNetSystem,5,2,1,train,0.02027575485408306,nan,1.0,0.0,0.05852588638663292,68.71521949768066,0.3465625,0.02027575485408306
MoulinNetSystem,5,2,1,test,0.020133893936872482,nan,1.0,0.0,0.05838809534907341,0.06365084648132324,0.18380859375,0.020133893936872482
NonSPRuleSystem,5,3,1,train,0.006850267760455608,nan,1.0,0.0,0.024419046938419342,0.7673084735870361,0.169970703125,0.006850267760455608
NonSPRuleSystem,5,3,1,test,0.0067247808910906315,nan,1.0,0.0,0.023715978488326073,0.04406571388244629,0.169794921875,0.0067247808910906315
PercentileRuleSystem,5,3,1,train,0.009115549735724926,nan,1.0,0.0,0.03574545681476593,0.16309475898742676,0.169638671875,0.009115549735724926
PercentileRuleSystem,5,3,1,test,0.009122888557612896,nan,1.0,0.0,0.035706523805856705,0.03199315071105957,0.00697265625,0.009122888557612896
DictatorRuleSystem,5,3,1,train,0.017271054908633232,nan,1.0,0.0,0.06693882495164871,0.14016151428222656,0.169677734375,0.017271054908633232
DictatorRuleSystem,5,3,1,test,0.016860464587807655,nan,1.0,0.0,0.06416952610015869,0.032939910888671875,0.00701171875,0.016860464587807655
ConstantRuleSystem,5,3,1,train,0.032167527824640274,nan,1.0,0.009199489839375019,0.0643986314535141,0.1352076530456543,0.169453125,0.032167527824640274
ConstantRuleSystem,5,3,1,test,0.03206734359264374,nan,1.0,0.009484341368079185,0.06466380506753922,0.033865928649902344,0.0068359375,0.03206734359264374
