model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.077295549,1.66E-07,1,0.025313206,0.139528364,75.45590019,0.808369141,0.077295549
RegretNetSystem,5,1,1,test,0.067853503,0.002181675,1,0.022050723,0.129501984,0.017618179,0.644609375,0.067853503
RegretNetSystem,5,2,1,train,0.031295002,0.001660543,1,0.010422183,0.053613789,74.90245008,0.8084375,0.031295002
RegretNetSystem,5,2,1,test,0.027846627,0.002692394,1,0.008608288,0.050387103,0.017840147,0.644677734,0.027846627
RegretNetSystem,5,3,1,train,0.025659258,0.001666944,1,0.008239773,0.044037435,74.43685699,0.808515625,0.025659258
RegretNetSystem,5,3,1,test,0.017646724,0.0025086,1,0.005762374,0.03172607,0.017947197,0.644755859,0.017646724
RegretNetSystem,5,4,1,train,0.01424651,0.001007639,1,0.004340865,0.025792802,74.4191637,0.808623047,0.01424651
RegretNetSystem,5,4,1,test,0.014443893,0.001033529,1,0.004367004,0.026306603,0.017781496,0.64484375,0.014443893
MoulinNetSystem,5,1,1,train,0.063051872,nan,1,0.00833805,0.132542863,63.85014486,0.339541016,0.063051872
MoulinNetSystem,5,1,1,test,0.060172349,nan,1,0.008754837,0.13172178,0.064215422,0.176787109,0.060172349
MoulinNetSystem,5,2,1,train,0.022654518,nan,1,0,0.056313336,60.76318574,0.346523438,0.022654518
MoulinNetSystem,5,2,1,test,0.021393724,nan,1,6.68E-06,0.054534752,0.050090551,0.183613281,0.021393724
MoulinNetSystem,5,3,1,train,0.010036788,nan,1,0,0.033229932,59.60838056,0.353378906,0.010036788
MoulinNetSystem,5,3,1,test,0.009382889,nan,1,0,0.030376783,0.058125019,0.190605469,0.009382889
MoulinNetSystem,5,4,1,train,0.003337059,nan,1,0,0.014367377,61.67793846,0.360205078,0.003337059
MoulinNetSystem,5,4,1,test,0.00306556,nan,1,0,0.014721604,0.069917917,0.197353516,0.00306556
PercentileRuleSystem,5,1,1,train,0.06543121486902237,nan,1.0,0.0,0.13949675858020782,0.13926219940185547,0.00650390625,0.06543121486902237
PercentileRuleSystem,5,1,1,test,0.06481023132801056,nan,1.0,0.0,0.1392609030008316,0.037812232971191406,0.006337890625,0.06481023132801056
DictatorRuleSystem,5,1,1,train,0.07683189958333969,nan,1.0,0.0,0.16951535642147064,0.13416051864624023,0.00654296875,0.07683189958333969
DictatorRuleSystem,5,1,1,test,0.07566709071397781,nan,1.0,0.0,0.16721023619174957,0.032257795333862305,0.006376953125,0.07566709071397781
ConstantRuleSystem,5,1,1,train,0.07283291220664978,nan,1.0,0.023080511018633842,0.13873520493507385,0.1302638053894043,0.00650390625,0.07283291220664978
ConstantRuleSystem,5,1,1,test,0.0727347582578659,nan,1.0,0.024076173081994057,0.13739866018295288,0.03238654136657715,0.006337890625,0.0727347582578659
PercentileRuleSystem,5,2,1,train,0.021153055131435394,nan,1.0,0.0,0.05939897522330284,0.13193869590759277,0.007080078125,0.021153055131435394
PercentileRuleSystem,5,2,1,test,0.020227769389748573,nan,1.0,0.0,0.05725392326712608,0.030921459197998047,0.0069140625,0.020227769389748573
DictatorRuleSystem,5,2,1,train,0.034701570868492126,nan,1.0,0.0,0.10279689729213715,0.1274251937866211,0.007119140625,0.034701570868492126
DictatorRuleSystem,5,2,1,test,0.034252434968948364,nan,1.0,0.0,0.10172497481107712,0.02860236167907715,0.006953125,0.034252434968948364
ConstantRuleSystem,5,2,1,train,0.05973903089761734,nan,1.0,0.02085561864078045,0.09708222001791,0.15666818618774414,0.007001953125,0.05973903089761734
ConstantRuleSystem,5,2,1,test,0.06040353700518608,nan,1.0,0.02194267138838768,0.09800255298614502,0.029099702835083008,0.0068359375,0.06040353700518608
PercentileRuleSystem,5,3,1,train,0.009053974412381649,nan,1.0,0.0,0.03490728884935379,0.20139479637145996,0.007021484375,0.009053974412381649
PercentileRuleSystem,5,3,1,test,0.00879132654517889,nan,1.0,0.0,0.03421049192547798,0.03108358383178711,0.00685546875,0.00879132654517889
DictatorRuleSystem,5,3,1,train,0.017768586054444313,nan,1.0,0.0,0.06737402826547623,0.17314839363098145,0.007060546875,0.017768586054444313
DictatorRuleSystem,5,3,1,test,0.01753624901175499,nan,1.0,0.0,0.06707164645195007,0.031728506088256836,0.00689453125,0.01753624901175499
ConstantRuleSystem,5,3,1,train,0.03260456398129463,nan,1.0,0.009250937029719353,0.06671649217605591,0.16920876502990723,0.006884765625,0.03260456398129463
ConstantRuleSystem,5,3,1,test,0.03234080597758293,nan,1.0,0.009082464501261711,0.06539758294820786,0.028910160064697266,0.00671875,0.03234080597758293
PercentileRuleSystem,5,4,1,train,0.002989694708958268,nan,1.0,0.0,0.014948472380638123,0.1558065414428711,0.00796875,0.002989694708958268
PercentileRuleSystem,5,4,1,test,0.0029874888714402914,nan,1.0,0.0,0.0149374445900321,0.032837867736816406,0.007802734375,0.0029874888714402914
DictatorRuleSystem,5,4,1,train,0.00683502946048975,nan,1.0,0.0,0.03417515009641647,0.1296086311340332,0.0080078125,0.00683502946048975
DictatorRuleSystem,5,4,1,test,0.006862058769911528,nan,1.0,0.0,0.034310296177864075,0.0293123722076416,0.007841796875,0.006862058769911528
ConstantRuleSystem,5,4,1,train,0.02824815921485424,nan,1.0,0.00889752060174942,0.0501161590218544,0.20821762084960938,0.007802734375,0.02824815921485424
ConstantRuleSystem,5,4,1,test,0.02830023691058159,nan,1.0,0.00869344174861908,0.0503421276807785,0.030457258224487305,0.00763671875,0.02830023691058159
