model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.06713826209306717,7.638258102815598e-05,1.0,0.016102369874715805,0.1537807434797287,89.541255235672,0.8083984375,0.06713826209306717
RegretNetSystem,5,1,1,test,0.06266466528177261,0.0026502374093979597,1.0,0.015968916937708855,0.1447696089744568,0.018941640853881836,0.644560546875,0.06266466528177261
RegretNetSystem,5,2,1,train,0.038548752665519714,0.0,1.0,0.010428935289382935,0.0851895809173584,89.42936635017395,0.8084375,0.038548752665519714
RegretNetSystem,5,2,1,test,0.03184821084141731,0.0023248454090207815,1.0,0.008961754851043224,0.06822996586561203,0.0189666748046875,0.644677734375,0.03184821084141731
RegretNetSystem,5,3,1,train,0.027212098240852356,5.9614838392008096e-05,1.0,0.007341659162193537,0.05980172008275986,89.57584977149963,0.808515625,0.027212098240852356
RegretNetSystem,5,3,1,test,0.02207104302942753,0.0010603320552036166,1.0,0.004907174967229366,0.05068190395832062,0.019428014755249023,0.644755859375,0.02207104302942753
RegretNetSystem,5,4,1,train,0.015737203881144524,0.00022405011986847967,1.0,0.003660047659650445,0.035915158689022064,91.23607754707336,0.808623046875,0.015737203881144524
RegretNetSystem,5,4,1,test,0.015486658550798893,0.0005745260277763009,1.0,0.004186998587101698,0.03335758298635483,0.018900394439697266,0.64484375,0.015486658550798893
NonSPRuleSystem,5,1,1,train,0.055936142802238464,nan,1.0,0.0,0.14447332918643951,0.4346632957458496,0.16890625,0.055936142802238464
NonSPRuleSystem,5,1,1,test,0.05530185624957085,nan,1.0,0.0,0.1450422704219818,0.05301523208618164,0.16873046875,0.05530185624957085
PercentileRuleSystem,5,1,1,train,0.055936142802238464,nan,1.0,0.0,0.14447332918643951,0.17191338539123535,0.16873046875,0.055936142802238464
PercentileRuleSystem,5,1,1,test,0.05530185624957085,nan,1.0,0.0,0.1450422704219818,0.0518798828125,0.006064453125,0.05530185624957085
DictatorRuleSystem,5,1,1,train,0.07627256214618683,nan,1.0,0.0,0.1709383726119995,0.1690812110900879,0.16876953125,0.07627256214618683
DictatorRuleSystem,5,1,1,test,0.07597477734088898,nan,1.0,0.0,0.16979937255382538,0.04884195327758789,0.006103515625,0.07597477734088898
ConstantRuleSystem,5,1,1,train,0.07283291220664978,nan,1.0,0.023080511018633842,0.13873520493507385,0.11184930801391602,0.168681640625,0.07283291220664978
ConstantRuleSystem,5,1,1,test,0.0727347582578659,nan,1.0,0.024076173081994057,0.13739866018295288,0.11864686012268066,0.005859375,0.0727347582578659
MoulinNetSystem,5,1,1,train,0.05593616142868996,nan,1.0,0.0,0.14447323977947235,76.20495700836182,0.339619140625,0.05593616142868996
MoulinNetSystem,5,1,1,test,0.055317025631666183,nan,1.0,7.225936860777438e-05,0.14496640861034393,0.05767369270324707,0.176748046875,0.055317025631666183
NonSPRuleSystem,5,2,1,train,0.019553977996110916,nan,1.0,0.0,0.05686675012111664,0.7316064834594727,0.16947265625,0.019553977996110916
NonSPRuleSystem,5,2,1,test,0.018766023218631744,nan,1.0,0.0,0.05576613172888756,0.06947183609008789,0.169296875,0.018766023218631744
PercentileRuleSystem,5,2,1,train,0.021153055131435394,nan,1.0,0.0,0.05939897522330284,0.22987771034240723,0.1690625,0.021153055131435394
PercentileRuleSystem,5,2,1,test,0.020227769389748573,nan,1.0,0.0,0.05725392326712608,0.04962515830993652,0.006396484375,0.020227769389748573
DictatorRuleSystem,5,2,1,train,0.034701570868492126,nan,1.0,0.0,0.10279689729213715,0.1831657886505127,0.1691015625,0.034701570868492126
DictatorRuleSystem,5,2,1,test,0.034252434968948364,nan,1.0,0.0,0.10172497481107712,0.053076982498168945,0.006435546875,0.034252434968948364
ConstantRuleSystem,5,2,1,train,0.04909766465425491,nan,1.0,0.01060409378260374,0.120025135576725,0.12411189079284668,0.168935546875,0.04909766465425491
ConstantRuleSystem,5,2,1,test,0.04838660731911659,nan,1.0,0.010836482979357243,0.11742991209030151,0.06801700592041016,0.006318359375,0.04838660731911659
MoulinNetSystem,5,2,1,train,0.021153055131435394,nan,1.0,0.0,0.05939747765660286,74.31301593780518,0.346484375,0.021153055131435394
MoulinNetSystem,5,2,1,test,0.020228013396263123,nan,1.0,0.0,0.05725141242146492,0.06502175331115723,0.18373046875,0.020228013396263123
NonSPRuleSystem,5,3,1,train,0.007079897448420525,nan,1.0,0.0,0.025036901235580444,0.734757661819458,0.169931640625,0.007079897448420525
NonSPRuleSystem,5,3,1,test,0.00667225569486618,nan,1.0,0.0,0.023615136742591858,0.04821467399597168,0.169755859375,0.00667225569486618
PercentileRuleSystem,5,3,1,train,0.009324317798018456,nan,1.0,0.0,0.035138871520757675,0.1567234992980957,0.169599609375,0.009324317798018456
PercentileRuleSystem,5,3,1,test,0.009029031731188297,nan,1.0,0.0,0.03414606675505638,0.04354715347290039,0.00693359375,0.009029031731188297
DictatorRuleSystem,5,3,1,train,0.017314335331320763,nan,1.0,0.0,0.06524711102247238,0.15980982780456543,0.169638671875,0.017314335331320763
DictatorRuleSystem,5,3,1,test,0.017347661778330803,nan,1.0,0.0,0.0659351497888565,0.04392743110656738,0.00697265625,0.017347661778330803
ConstantRuleSystem,5,3,1,train,0.03260456398129463,nan,1.0,0.009250937029719353,0.06671649217605591,0.14116644859313965,0.1694140625,0.03260456398129463
ConstantRuleSystem,5,3,1,test,0.03234080597758293,nan,1.0,0.009082464501261711,0.06539758294820786,0.04396867752075195,0.006796875,0.03234080597758293
MoulinNetSystem,5,3,1,train,0.00932971853762865,nan,1.0,0.0,0.03513890504837036,70.79307150840759,0.35337890625,0.00932971853762865
MoulinNetSystem,5,3,1,test,0.009043044410645962,nan,1.0,0.0,0.03396659716963768,0.05613088607788086,0.19048828125,0.009043044410645962
NonSPRuleSystem,5,4,1,train,0.0020725170616060495,nan,1.0,0.0,0.010362586006522179,0.3989534378051758,0.17087890625,0.0020725170616060495
NonSPRuleSystem,5,4,1,test,0.001949228229932487,nan,1.0,0.0,0.009746141731739044,0.03653240203857422,0.170703125,0.001949228229932487
PercentileRuleSystem,5,4,1,train,0.002989694708958268,nan,1.0,0.0,0.014948472380638123,0.1512608528137207,0.17046875,0.002989694708958268
PercentileRuleSystem,5,4,1,test,0.0029874888714402914,nan,1.0,0.0,0.0149374445900321,0.04015970230102539,0.007802734375,0.0029874888714402914
DictatorRuleSystem,5,4,1,train,0.0070848180912435055,nan,1.0,0.0,0.035424090921878815,0.14198946952819824,0.1705078125,0.0070848180912435055
DictatorRuleSystem,5,4,1,test,0.007082593161612749,nan,1.0,0.0,0.03541296720504761,0.03439188003540039,0.007841796875,0.007082593161612749
ConstantRuleSystem,5,4,1,train,0.02824815921485424,nan,1.0,0.00889752060174942,0.0501161590218544,0.2224562168121338,0.17005859375,0.02824815921485424
ConstantRuleSystem,5,4,1,test,0.02830023691058159,nan,1.0,0.00869344174861908,0.0503421276807785,0.03891897201538086,0.00744140625,0.02830023691058159
MoulinNetSystem,5,4,1,train,0.0029906516429036856,nan,1.0,0.0,0.014951037243008614,63.774022817611694,0.360205078125,0.0029906516429036856
MoulinNetSystem,5,4,1,test,0.0029952088370919228,nan,1.0,0.0,0.014954879879951477,0.061029911041259766,0.197353515625,0.0029952088370919228
