model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.098869853,0.000864407,1,0.022969466,0.201267362,106.489033,0.808398438,0.098869853
RegretNetSystem,5,1,1,test,0.105449103,0.000954299,1,0.024952585,0.216070995,0.051390648,0.644560547,0.105449103
RegretNetSystem,5,2,1,train,0.051827081,0.003634021,1,0.013185989,0.095724769,101.0443423,0.8084375,inf
RegretNetSystem,5,2,1,test,0.057973791,0.015611889,1,0.017085245,0.107660763,0.036260605,0.644677734,inf
RegretNetSystem,5,3,1,train,0.029209135,0.004409328,1,0.008094718,0.054319408,104.6593981,0.808515625,inf
RegretNetSystem,5,3,1,test,0.031128565,0.003231164,1,0.007848354,0.06055776,0.04336524,0.644755859,inf
RegretNetSystem,5,4,1,train,0.022088971,0.002053301,1,0.005667632,0.043352425,110.3214676,0.808623047,0.022088971
RegretNetSystem,5,4,1,test,0.022908017,0.002286153,1,0.005754546,0.046202816,0.051452398,0.64484375,0.022908017
MoulinNetSystem,5,1,1,train,0.088636771,nan,1,0,0.208057851,63.6739018,0.339628906,0.088636771
MoulinNetSystem,5,1,1,test,0.094470248,nan,1,0.000130481,0.221042797,0.05468154,0.176875,0.094470248
MoulinNetSystem,5,2,1,train,0.043233152,nan,1,0,0.120053262,67.13916826,0.346445313,0.043233152
MoulinNetSystem,5,2,1,test,0.045694277,nan,1,0,0.129819065,0.065048218,0.183691406,0.045694277
MoulinNetSystem,5,3,1,train,0.015782461,nan,1,0,0.058338322,62.02608991,0.353339844,0.015782461
MoulinNetSystem,5,3,1,test,0.017087057,nan,1,0,0.062769152,0.053173542,0.190488281,0.017087057
MoulinNetSystem,5,4,1,train,0.007711685,nan,1,0,0.038195301,63.07605553,0.360166016,0.007711685
MoulinNetSystem,5,4,1,test,0.008248715,nan,1,0,0.040964078,0.063211918,0.197392578,0.008248715
PercentileRuleSystem,5,1,1,train,0.08863677084445953,nan,1.0,0.0,0.20805785059928894,0.14345240592956543,0.00623046875,0.08863677084445953
PercentileRuleSystem,5,1,1,test,0.0944441482424736,nan,1.0,0.0,0.2211356908082962,0.0390012264251709,0.006064453125,0.0944441482424736
DictatorRuleSystem,5,1,1,train,0.119780533015728,nan,1.0,0.0,0.25902023911476135,0.13959050178527832,0.00626953125,0.119780533015728
DictatorRuleSystem,5,1,1,test,0.12746204435825348,nan,1.0,0.0,0.2756803333759308,0.03163647651672363,0.006103515625,0.12746204435825348
ConstantRuleSystem,5,1,1,train,0.11098415404558182,nan,1.0,0.029725052416324615,0.21938732266426086,0.13008522987365723,0.00623046875,0.11098415404558182
ConstantRuleSystem,5,1,1,test,0.1195494756102562,nan,1.0,0.03230084478855133,0.2365783154964447,0.029964923858642578,0.006064453125,0.1195494756102562
PercentileRuleSystem,5,2,1,train,0.04089030250906944,nan,1.0,0.0,0.11805487424135208,0.15035343170166016,0.006806640625,0.04089030250906944
PercentileRuleSystem,5,2,1,test,0.04443200305104256,nan,1.0,0.0,0.12607598304748535,0.035840511322021484,0.006640625,0.04443200305104256
DictatorRuleSystem,5,2,1,train,0.05741015821695328,nan,1.0,0.0,0.1622169315814972,0.14324212074279785,0.006845703125,0.05741015821695328
DictatorRuleSystem,5,2,1,test,0.061384446918964386,nan,1.0,0.0,0.17094843089580536,0.037722110748291016,0.0066796875,0.061384446918964386
ConstantRuleSystem,5,2,1,train,0.0668254867196083,nan,1.0,0.019395196810364723,0.13041892647743225,0.14287590980529785,0.006728515625,0.0668254867196083
ConstantRuleSystem,5,2,1,test,0.0713386982679367,nan,1.0,0.02122722752392292,0.14102427661418915,0.04897594451904297,0.0065625,0.0713386982679367
PercentileRuleSystem,5,3,1,train,0.015717538073658943,nan,1.0,0.0,0.05833832174539566,0.15057969093322754,0.0073828125,0.015717538073658943
PercentileRuleSystem,5,3,1,test,0.01697971299290657,nan,1.0,0.0,0.0627119243144989,0.033284664154052734,0.007216796875,0.01697971299290657
DictatorRuleSystem,5,3,1,train,0.02804166078567505,nan,1.0,0.0,0.10184230655431747,0.15165281295776367,0.007421875,0.02804166078567505
DictatorRuleSystem,5,3,1,test,0.030174240469932556,nan,1.0,0.0,0.10850632190704346,0.035192251205444336,0.007255859375,0.030174240469932556
ConstantRuleSystem,5,3,1,train,0.051563967019319534,nan,1.0,0.014968802221119404,0.0993400439620018,0.16812443733215332,0.00724609375,0.051563967019319534
ConstantRuleSystem,5,3,1,test,0.053900379687547684,nan,1.0,0.01588604599237442,0.10519982129335403,0.03321647644042969,0.007080078125,0.053900379687547684
PercentileRuleSystem,5,4,1,train,0.006893439684063196,nan,1.0,0.0,0.034467197954654694,0.13907098770141602,0.008330078125,0.006893439684063196
PercentileRuleSystem,5,4,1,test,0.007146869786083698,nan,1.0,0.0,0.035734351724386215,0.04145669937133789,0.0081640625,0.007146869786083698
DictatorRuleSystem,5,4,1,train,0.011269841343164444,nan,1.0,0.0,0.05634921044111252,0.1481342315673828,0.008369140625,0.011269841343164444
DictatorRuleSystem,5,4,1,test,0.01258095819503069,nan,1.0,0.0,0.06290479004383087,0.02956867218017578,0.008203125,0.01258095819503069
ConstantRuleSystem,5,4,1,train,0.03582797944545746,nan,1.0,0.010518286377191544,0.07516196370124817,0.209181547164917,0.0081640625,0.03582797944545746
ConstantRuleSystem,5,4,1,test,0.038459643721580505,nan,1.0,0.010549497790634632,0.08320601284503937,0.056027889251708984,0.007998046875,0.038459643721580505
