model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.098798841,0.00120535,1,0.022878114,0.20078145,113.6080351,0.8084375,0.098798841
RegretNetSystem,5,1,1,test,0.10491588,0.001532741,1,0.025308367,0.215028718,0.046197176,0.644560547,0.10491588
RegretNetSystem,5,2,1,train,0.050158914,0.0043765,1,0.013227696,0.091580495,106.8207455,0.808476563,inf
RegretNetSystem,5,2,1,test,0.055364601,0.016811971,1,0.017697567,0.097088978,0.042371035,0.644638672,inf
RegretNetSystem,5,3,1,train,0.031153573,0.003617588,1,0.008244321,0.060056392,106.3890753,0.808632813,inf
RegretNetSystem,5,3,1,test,0.030833544,0.003961748,1,0.008002754,0.059692133,0.04524684,0.644716797,inf
RegretNetSystem,5,4,1,train,0.023741398,0.0026017,1,0.006461298,0.045715928,108.5701578,0.808623047,0.023741398
RegretNetSystem,5,4,1,test,0.022871619,0.003139748,1,0.005710797,0.045489598,0.038066387,0.64484375,inf
MoulinNetSystem,5,1,1,train,0.088636771,nan,1,0,0.208057851,61.21110487,0.339541016,0.088636771
MoulinNetSystem,5,1,1,test,0.094483979,nan,1,0.000181183,0.220936552,0.071123123,0.176787109,0.094483979
MoulinNetSystem,5,2,1,train,0.04321824,nan,1,0,0.119253464,62.7369616,0.34640625,0.04321824
MoulinNetSystem,5,2,1,test,0.045238253,nan,1,0.000201104,0.123983532,0.059993505,0.183613281,0.045238253
MoulinNetSystem,5,3,1,train,0.015782461,nan,1,0,0.058338322,62.02608991,0.353339844,0.015782461
MoulinNetSystem,5,3,1,test,0.017087057,nan,1,0,0.062769152,0.053173542,0.190488281,0.017087057
MoulinNetSystem,5,4,1,train,0.007174918,nan,1,0,0.035656247,62.57259917,0.360205078,0.007174918
MoulinNetSystem,5,4,1,test,0.007649405,nan,1,0,0.038087957,0.056950569,0.197353516,0.007649405
PercentileRuleSystem,5,1,1,train,0.08863677084445953,nan,1.0,0.0,0.20805785059928894,0.14345240592956543,0.00623046875,0.08863677084445953
PercentileRuleSystem,5,1,1,test,0.0944441482424736,nan,1.0,0.0,0.2211356908082962,0.0390012264251709,0.006064453125,0.0944441482424736
DictatorRuleSystem,5,1,1,train,0.119780533015728,nan,1.0,0.0,0.25902023911476135,0.13959050178527832,0.00626953125,0.119780533015728
DictatorRuleSystem,5,1,1,test,0.12746204435825348,nan,1.0,0.0,0.2756803333759308,0.03163647651672363,0.006103515625,0.12746204435825348
ConstantRuleSystem,5,1,1,train,0.11098415404558182,nan,1.0,0.029725052416324615,0.21938732266426086,0.13008522987365723,0.00623046875,0.11098415404558182
ConstantRuleSystem,5,1,1,test,0.1195494756102562,nan,1.0,0.03230084478855133,0.2365783154964447,0.029964923858642578,0.006064453125,0.1195494756102562
PercentileRuleSystem,5,2,1,train,0.04089030250906944,nan,1.0,0.0,0.11805487424135208,0.15035343170166016,0.006806640625,0.04089030250906944
PercentileRuleSystem,5,2,1,test,0.04443200305104256,nan,1.0,0.0,0.12607598304748535,0.035840511322021484,0.006640625,0.04443200305104256
DictatorRuleSystem,5,2,1,train,0.05741015821695328,nan,1.0,0.0,0.1622169315814972,0.14324212074279785,0.006845703125,0.05741015821695328
DictatorRuleSystem,5,2,1,test,0.061384446918964386,nan,1.0,0.0,0.17094843089580536,0.037722110748291016,0.0066796875,0.061384446918964386
ConstantRuleSystem,5,2,1,train,0.0668254867196083,nan,1.0,0.019395196810364723,0.13041892647743225,0.14287590980529785,0.006728515625,0.0668254867196083
ConstantRuleSystem,5,2,1,test,0.0713386982679367,nan,1.0,0.02122722752392292,0.14102427661418915,0.04897594451904297,0.0065625,0.0713386982679367
PercentileRuleSystem,5,3,1,train,0.015717538073658943,nan,1.0,0.0,0.05833832174539566,0.15057969093322754,0.0073828125,0.015717538073658943
PercentileRuleSystem,5,3,1,test,0.01697971299290657,nan,1.0,0.0,0.0627119243144989,0.033284664154052734,0.007216796875,0.01697971299290657
DictatorRuleSystem,5,3,1,train,0.02804166078567505,nan,1.0,0.0,0.10184230655431747,0.15165281295776367,0.007421875,0.02804166078567505
DictatorRuleSystem,5,3,1,test,0.030174240469932556,nan,1.0,0.0,0.10850632190704346,0.035192251205444336,0.007255859375,0.030174240469932556
ConstantRuleSystem,5,3,1,train,0.051563967019319534,nan,1.0,0.014968802221119404,0.0993400439620018,0.16812443733215332,0.00724609375,0.051563967019319534
ConstantRuleSystem,5,3,1,test,0.053900379687547684,nan,1.0,0.01588604599237442,0.10519982129335403,0.03321647644042969,0.007080078125,0.053900379687547684
PercentileRuleSystem,5,4,1,train,0.006893439684063196,nan,1.0,0.0,0.034467197954654694,0.13907098770141602,0.008330078125,0.006893439684063196
PercentileRuleSystem,5,4,1,test,0.007146869786083698,nan,1.0,0.0,0.035734351724386215,0.04145669937133789,0.0081640625,0.007146869786083698
DictatorRuleSystem,5,4,1,train,0.011269841343164444,nan,1.0,0.0,0.05634921044111252,0.1481342315673828,0.008369140625,0.011269841343164444
DictatorRuleSystem,5,4,1,test,0.01258095819503069,nan,1.0,0.0,0.06290479004383087,0.02956867218017578,0.008203125,0.01258095819503069
ConstantRuleSystem,5,4,1,train,0.03582797944545746,nan,1.0,0.010518286377191544,0.07516196370124817,0.209181547164917,0.0081640625,0.03582797944545746
ConstantRuleSystem,5,4,1,test,0.038459643721580505,nan,1.0,0.010549497790634632,0.08320601284503937,0.056027889251708984,0.007998046875,0.038459643721580505
