model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.09590207785367966,0.0015404418809339404,1.0,0.01879323087632656,0.20327569544315338,94.9343159198761,0.808359375,0.09590207785367966
RegretNetSystem,5,1,1,test,0.10137413442134857,0.0016793530667200685,1.0,0.019625945016741753,0.21508322656154633,0.02063584327697754,0.644599609375,0.10137413442134857
RegretNetSystem,5,2,1,train,0.04846666008234024,0.0010763138998299837,1.0,0.005855449475347996,0.12046365439891815,92.23537230491638,0.8084765625,0.04846666008234024
RegretNetSystem,5,2,1,test,0.052307017147541046,0.0013060144847258925,1.0,0.0046103643253445625,0.12860511243343353,0.018829345703125,0.644638671875,0.052307017147541046
RegretNetSystem,5,3,1,train,0.025973830372095108,0.0018141730688512325,1.0,0.0035852096043527126,0.07378152012825012,92.04415512084961,0.808515625,0.025973830372095108
RegretNetSystem,5,3,1,test,0.027552641928195953,0.0010213739005848765,1.0,0.0024206796661019325,0.08098263293504715,0.01944732666015625,0.644755859375,0.027552641928195953
RegretNetSystem,5,4,1,train,0.0201649758964777,0.0015934895491227508,1.0,0.002796306973323226,0.04935869947075844,91.92205929756165,0.808623046875,0.0201649758964777
RegretNetSystem,5,4,1,test,0.02127832919359207,0.0011139000998809934,1.0,0.0024732709862291813,0.05216633901000023,0.019364356994628906,0.64484375,0.02127832919359207
NonSPRuleSystem,5,1,1,train,0.08863677084445953,nan,1.0,0.0,0.20805785059928894,0.46465301513671875,0.168818359375,0.08863677084445953
NonSPRuleSystem,5,1,1,test,0.0944441482424736,nan,1.0,0.0,0.2211356908082962,0.04544568061828613,0.168642578125,0.0944441482424736
PercentileRuleSystem,5,1,1,train,0.08863677084445953,nan,1.0,0.0,0.20805785059928894,0.16721653938293457,0.168642578125,0.08863677084445953
PercentileRuleSystem,5,1,1,test,0.0944441482424736,nan,1.0,0.0,0.2211356908082962,0.03541851043701172,0.0059765625,0.0944441482424736
DictatorRuleSystem,5,1,1,train,0.12059926241636276,nan,1.0,0.0,0.26032355427742004,0.15467357635498047,0.168681640625,0.12059926241636276
DictatorRuleSystem,5,1,1,test,0.12804639339447021,nan,1.0,0.0,0.27378755807876587,0.03474307060241699,0.006015625,0.12804639339447021
ConstantRuleSystem,5,1,1,train,0.11098415404558182,nan,1.0,0.029725052416324615,0.21938732266426086,0.09543633460998535,0.16859375,0.11098415404558182
ConstantRuleSystem,5,1,1,test,0.1195494756102562,nan,1.0,0.03230084478855133,0.2365783154964447,0.03425002098083496,0.0059765625,0.1195494756102562
MoulinNetSystem,5,1,1,train,0.08863677084445953,nan,1.0,0.0,0.20805785059928894,66.1846661567688,0.339658203125,0.08863677084445953
MoulinNetSystem,5,1,1,test,0.09447941184043884,nan,1.0,0.00013119621144142002,0.22106200456619263,0.04955792427062988,0.176904296875,0.09447941184043884
NonSPRuleSystem,5,2,1,train,0.035138342529535294,nan,1.0,0.0,0.10022091120481491,0.7219970226287842,0.16939453125,0.035138342529535294
NonSPRuleSystem,5,2,1,test,0.037285372614860535,nan,1.0,0.0,0.1062040701508522,0.05148959159851074,0.16921875,0.037285372614860535
PercentileRuleSystem,5,2,1,train,0.04089030250906944,nan,1.0,0.0,0.11805487424135208,0.16366863250732422,0.169140625,0.04089030250906944
PercentileRuleSystem,5,2,1,test,0.04443200305104256,nan,1.0,0.0,0.12607598304748535,0.033234596252441406,0.006474609375,0.04443200305104256
DictatorRuleSystem,5,2,1,train,0.05741015821695328,nan,1.0,0.0,0.1622169315814972,0.14890718460083008,0.1691796875,0.05741015821695328
DictatorRuleSystem,5,2,1,test,0.061384446918964386,nan,1.0,0.0,0.17094843089580536,0.036054134368896484,0.006513671875,0.061384446918964386
ConstantRuleSystem,5,2,1,train,0.0668254867196083,nan,1.0,0.019395196810364723,0.13041892647743225,0.11326789855957031,0.169013671875,0.0668254867196083
ConstantRuleSystem,5,2,1,test,0.0713386982679367,nan,1.0,0.02122722752392292,0.14102427661418915,0.03262019157409668,0.006396484375,0.0713386982679367
MoulinNetSystem,5,2,1,train,0.04089030250906944,nan,1.0,0.0,0.11805088818073273,73.69937586784363,0.3465625,0.04089030250906944
MoulinNetSystem,5,2,1,test,0.04445098340511322,nan,1.0,0.0,0.12603281438350677,0.06556534767150879,0.18361328125,0.04445098340511322
NonSPRuleSystem,5,3,1,train,0.013639740645885468,nan,1.0,0.0,0.04794934019446373,0.6622984409332275,0.169931640625,0.013639740645885468
NonSPRuleSystem,5,3,1,test,0.014689386822283268,nan,1.0,0.0,0.05126029625535011,0.046724557876586914,0.169755859375,0.014689386822283268
PercentileRuleSystem,5,3,1,train,0.015717538073658943,nan,1.0,0.0,0.05833832174539566,0.1546461582183838,0.169599609375,0.015717538073658943
PercentileRuleSystem,5,3,1,test,0.01697971299290657,nan,1.0,0.0,0.0627119243144989,0.0392453670501709,0.00693359375,0.01697971299290657
DictatorRuleSystem,5,3,1,train,0.029864786192774773,nan,1.0,0.0,0.10896094143390656,0.15914440155029297,0.169638671875,0.029864786192774773
DictatorRuleSystem,5,3,1,test,0.030720598995685577,nan,1.0,0.0,0.11203711479902267,0.033611297607421875,0.00697265625,0.030720598995685577
ConstantRuleSystem,5,3,1,train,0.051563967019319534,nan,1.0,0.014968802221119404,0.0993400439620018,0.15529847145080566,0.1694140625,0.051563967019319534
ConstantRuleSystem,5,3,1,test,0.053900379687547684,nan,1.0,0.01588604599237442,0.10519982129335403,0.04165983200073242,0.006796875,0.053900379687547684
MoulinNetSystem,5,3,1,train,0.01856810413300991,nan,1.0,0.0,0.06532954424619675,67.70765495300293,0.35345703125,0.01856810413300991
MoulinNetSystem,5,3,1,test,0.020489715039730072,nan,1.0,0.0,0.07106166332960129,0.06297564506530762,0.19048828125,0.020489715039730072
NonSPRuleSystem,5,4,1,train,0.004049872979521751,nan,1.0,0.0,0.020249363034963608,0.45500969886779785,0.17080078125,0.004049872979521751
NonSPRuleSystem,5,4,1,test,0.00443732924759388,nan,1.0,0.0,0.0221866425126791,0.044783592224121094,0.170625,0.00443732924759388
PercentileRuleSystem,5,4,1,train,0.006893439684063196,nan,1.0,0.0,0.034467197954654694,0.1789247989654541,0.170390625,0.006893439684063196
PercentileRuleSystem,5,4,1,test,0.007146869786083698,nan,1.0,0.0,0.035734351724386215,0.04385519027709961,0.007724609375,0.007146869786083698
DictatorRuleSystem,5,4,1,train,0.011360583826899529,nan,1.0,0.0,0.05680292099714279,0.15535855293273926,0.1704296875,0.011360583826899529
