model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.06672008335590363,0.00022629345767199993,1.0,0.014975116588175297,0.2527898848056793,105.84095120429993,0.808408203125,0.06672008335590363
RegretNetSystem,5,1,1,test,0.07178249210119247,0.00020506783039309084,1.0,0.007725840900093317,0.27321556210517883,0.0809016227722168,0.644560546875,0.07178249210119247
RegretNetSystem,5,2,1,train,0.04394485801458359,0.008050842210650444,1.0,0.022981932386755943,0.1512068808078766,107.50541758537292,0.8084765625,inf
RegretNetSystem,5,2,1,test,0.035034872591495514,0.0003790443588513881,1.0,0.006471917498856783,0.14974398910999298,0.04144763946533203,0.644638671875,0.035034872591495514
RegretNetSystem,5,3,1,train,0.022932840511202812,0.00041112216422334313,1.0,0.006725567393004894,0.09242406487464905,105.62125062942505,0.8085546875,0.022932840511202812
RegretNetSystem,5,3,1,test,0.023478558287024498,0.00030200398759916425,1.0,0.004455279558897018,0.10043266415596008,0.04360461235046387,0.644716796875,0.023478558287024498
RegretNetSystem,5,4,1,train,0.020401090383529663,0.0018389822216704488,1.0,0.011622663587331772,0.0748911201953888,104.52117156982422,0.808623046875,0.020401090383529663
RegretNetSystem,5,4,1,test,0.019018974155187607,0.00014794003800489008,1.0,0.00362370815128088,0.07842546701431274,0.03946089744567871,0.64484375,0.019018974155187607
RegretNetSystem,9,1,1,train,0.0867236778140068,0.0004975062911398709,1.0,0.01662188395857811,0.5804479122161865,116.35180735588074,1.250244140625,0.0867236778140068
RegretNetSystem,9,1,1,test,0.08507239073514938,0.00013284660235513002,1.0,0.01262596994638443,0.5833067893981934,0.03384995460510254,1.073193359375,0.08507239073514938
RegretNetSystem,9,2,1,train,0.048958711326122284,0.00019605290435720235,1.0,0.006536845117807388,0.3574706017971039,103.88266634941101,1.250322265625,0.048958711326122284
RegretNetSystem,9,2,1,test,0.046274714171886444,0.0006297805812209845,1.0,0.0065115997567772865,0.3503086566925049,0.0347898006439209,1.073271484375,0.046274714171886444
RegretNetSystem,9,3,1,train,0.04216300696134567,0.0,1.0,0.008938646875321865,0.30636146664619446,109.58269953727722,1.250400390625,0.04216300696134567
RegretNetSystem,9,3,1,test,0.041541293263435364,4.0262939648982865e-08,1.0,0.008151736110448837,0.3036395311355591,0.036263227462768555,1.073349609375,0.041541293263435364
RegretNetSystem,9,4,1,train,0.033671848475933075,0.0,1.0,0.006489576306194067,0.24622026085853577,115.4527759552002,1.2505078125,0.033671848475933075
RegretNetSystem,9,4,1,test,0.03279437869787216,1.1324883253394091e-09,1.0,0.006941047962754965,0.24293605983257294,0.037326812744140625,1.0734375,0.03279437869787216
RegretNetSystem,10,1,1,train,0.08379024267196655,0.0004746205231640488,1.0,0.014730718918144703,0.5576999187469482,113.77470421791077,1.372490234375,0.08379024267196655
RegretNetSystem,10,1,1,test,0.0924377515912056,0.00029265586636029184,1.0,0.01290904264897108,0.6304771900177002,0.03928494453430176,1.20861328125,0.0924377515912056
RegretNetSystem,10,2,1,train,0.0462954007089138,0.0007363228942267597,1.0,0.008947262540459633,0.328246533870697,107.35935139656067,1.372568359375,0.0462954007089138
RegretNetSystem,10,2,1,test,0.05339568480849266,0.0006038035498932004,1.0,0.007306308019906282,0.3895909786224365,0.036356210708618164,1.20869140625,0.05339568480849266
RegretNetSystem,10,3,1,train,0.027811208739876747,0.004656778182834387,1.0,0.0074094911105930805,0.12804840505123138,117.17995953559875,1.372607421875,inf
RegretNetSystem,10,3,1,test,0.028003724291920662,0.0006104550557211041,1.0,0.0050246804021298885,0.14462591707706451,0.036402225494384766,1.20880859375,0.028003724291920662
RegretNetSystem,10,4,1,train,0.019560303539037704,0.0003001780132763088,1.0,0.003768759313970804,0.10318918526172638,110.91897463798523,1.37271484375,0.019560303539037704
RegretNetSystem,10,4,1,test,0.022518960759043694,0.00044182708370499313,1.0,0.004471465013921261,0.12082763761281967,0.03656506538391113,1.208896484375,0.022518960759043694
