model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.06631650775671005,0.00012703817628789693,1.0,0.006971118040382862,0.25452494621276855,117.34634447097778,0.808359375,0.06631650775671005
RegretNetSystem,5,1,1,test,0.07175926119089127,0.000358880206476897,1.0,0.00682057486847043,0.27342426776885986,0.033484697341918945,0.644599609375,0.07175926119089127
RegretNetSystem,5,2,1,train,0.033392857760190964,0.00038919138023629785,1.0,0.011649657040834427,0.13537372648715973,102.62060141563416,0.8084765625,0.033392857760190964
RegretNetSystem,5,2,1,test,0.03404737636446953,0.000525115872733295,1.0,0.007788138464093208,0.14189951121807098,0.03844571113586426,0.644638671875,0.03404737636446953
RegretNetSystem,5,3,1,train,0.022932840511202812,0.00041112216422334313,1.0,0.006725567393004894,0.09242406487464905,105.62125062942505,0.8085546875,0.022932840511202812
RegretNetSystem,5,3,1,test,0.023478558287024498,0.00030200398759916425,1.0,0.004455279558897018,0.10043266415596008,0.04360461235046387,0.644716796875,0.023478558287024498
RegretNetSystem,5,4,1,train,0.01745978184044361,0.0002767381083685905,1.0,0.005186451133340597,0.07378281652927399,112.67993831634521,0.808662109375,0.01745978184044361
RegretNetSystem,5,4,1,test,0.018736565485596657,0.0002900877734646201,1.0,0.004440371412783861,0.07933031767606735,0.0352473258972168,0.6448046875,0.018736565485596657
RegretNetSystem,9,1,1,train,0.08733014017343521,0.0009134428109973669,1.0,0.018140647560358047,0.577454149723053,116.91282153129578,1.250244140625,0.08733014017343521
RegretNetSystem,9,1,1,test,0.08471871167421341,0.002473478903993964,1.0,0.016928009688854218,0.56943678855896,0.038550615310668945,1.073193359375,0.08471871167421341
RegretNetSystem,9,2,1,train,0.03644558787345886,0.0008142496226355433,1.0,0.0063795121386647224,0.18919391930103302,117.55880093574524,1.250283203125,0.03644558787345886
RegretNetSystem,9,2,1,test,0.034554820507764816,0.0008927062153816223,1.0,0.006895237136632204,0.17451933026313782,0.037203073501586914,1.073310546875,0.034554820507764816
