model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
MoulinNetSystem,5,1,1,train,0.229132146,nan,1,0.059879426,0.404281229,61.29490948,0.339541016,0.229132146
MoulinNetSystem,5,1,1,test,0.221360087,nan,1,0.048026461,0.406764716,0.064012289,0.176787109,0.221360087
MoulinNetSystem,5,2,1,train,0.093590811,nan,1,0.012956477,0.187043011,62.04483104,0.346445313,0.093590811
MoulinNetSystem,5,2,1,test,0.092447467,nan,1,0.012277671,0.189195663,0.062065363,0.183613281,0.092447467
MoulinNetSystem,5,3,1,train,0.043193448,nan,1,0.001202556,0.10877163,63.71241236,0.353300781,0.043193448
MoulinNetSystem,5,3,1,test,0.038526516,nan,1,0.000358632,0.112229995,0.058237076,0.190527344,0.038526516
MoulinNetSystem,5,4,1,train,0.017555708,nan,1,0,0.072706535,64.30670738,0.360166016,0.017555708
MoulinNetSystem,5,4,1,test,0.016799875,nan,1,0,0.065757297,0.059892654,0.197353516,0.016799875
PercentileRuleSystem,5,1,1,train,0.20097708702087402,nan,1.0,0.0,0.4632382392883301,0.22768115997314453,0.006103515625,0.20097708702087402
PercentileRuleSystem,5,1,1,test,0.2003820389509201,nan,1.0,0.0,0.45909518003463745,0.03615832328796387,0.0059375,0.2003820389509201
DictatorRuleSystem,5,1,1,train,0.264583557844162,nan,1.0,0.0,0.569429337978363,0.12895965576171875,0.006142578125,0.264583557844162
DictatorRuleSystem,5,1,1,test,0.2697307765483856,nan,1.0,0.0,0.5726673007011414,0.030882835388183594,0.0059765625,0.2697307765483856
ConstantRuleSystem,5,1,1,train,0.25535881519317627,nan,1.0,0.08599812537431717,0.43403705954551697,0.14429545402526855,0.006103515625,0.25535881519317627
ConstantRuleSystem,5,1,1,test,0.252424418926239,nan,1.0,0.08236873894929886,0.43014150857925415,0.0326993465423584,0.0059375,0.252424418926239
PercentileRuleSystem,5,2,1,train,0.08417417109012604,nan,1.0,0.0,0.24381226301193237,0.15377211570739746,0.0066796875,0.08417417109012604
PercentileRuleSystem,5,2,1,test,0.08374187350273132,nan,1.0,0.0,0.24176166951656342,0.059912919998168945,0.006513671875,0.08374187350273132
DictatorRuleSystem,5,2,1,train,0.12906740605831146,nan,1.0,0.0,0.3508464992046356,0.1510486602783203,0.00671875,0.12906740605831146
DictatorRuleSystem,5,2,1,test,0.1261589080095291,nan,1.0,0.0,0.34642574191093445,0.03743767738342285,0.006552734375,0.1261589080095291
ConstantRuleSystem,5,2,1,train,0.12552659213542938,nan,1.0,0.0423482246696949,0.21315641701221466,0.15136241912841797,0.0066015625,0.12552659213542938
ConstantRuleSystem,5,2,1,test,0.12707825005054474,nan,1.0,0.040823113173246384,0.21751664578914642,0.03553318977355957,0.006435546875,0.12707825005054474
PercentileRuleSystem,5,3,1,train,0.03343301638960838,nan,1.0,0.0,0.12465166300535202,0.15230083465576172,0.007255859375,0.03343301638960838
PercentileRuleSystem,5,3,1,test,0.03327648341655731,nan,1.0,0.0,0.1237931177020073,0.031819820404052734,0.00708984375,0.03327648341655731
DictatorRuleSystem,5,3,1,train,0.06302926689386368,nan,1.0,0.0,0.2250741869211197,0.13331866264343262,0.007294921875,0.06302926689386368
DictatorRuleSystem,5,3,1,test,0.060218892991542816,nan,1.0,0.0,0.2154780477285385,0.03264331817626953,0.00712890625,0.060218892991542816
ConstantRuleSystem,5,3,1,train,0.08612056821584702,nan,1.0,0.028377389535307884,0.14976605772972107,0.17327475547790527,0.007119140625,0.08612056821584702
ConstantRuleSystem,5,3,1,test,0.08619091659784317,nan,1.0,0.02740561030805111,0.14892099797725677,0.0341954231262207,0.006953125,0.08619091659784317
PercentileRuleSystem,5,4,1,train,0.017276931554079056,nan,1.0,0.0,0.08638464659452438,0.19735026359558105,0.008154296875,0.017276931554079056
PercentileRuleSystem,5,4,1,test,0.016482854261994362,nan,1.0,0.0,0.08241426944732666,0.031540870666503906,0.007685546875,0.016482854261994362
DictatorRuleSystem,5,4,1,train,0.02247290126979351,nan,1.0,0.0,0.1123645082116127,0.13862895965576172,0.007890625,0.02247290126979351
DictatorRuleSystem,5,4,1,test,0.02323855087161064,nan,1.0,0.0,0.1161927580833435,0.03309893608093262,0.007724609375,0.02323855087161064
ConstantRuleSystem,5,4,1,train,0.06441909074783325,nan,1.0,0.020934423431754112,0.11356468498706818,0.19496941566467285,0.007685546875,0.06441909074783325
ConstantRuleSystem,5,4,1,test,0.06568624079227448,nan,1.0,0.021021153777837753,0.11607993394136429,0.03125882148742676,0.00751953125,0.06568624079227448
