model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.15417064726352692,0.0020331451669335365,1.0,0.04181930422782898,0.5685349106788635,9.268533706665039,0.0820478515625,0.15417064726352692
RegretNetSystem,5,1,1,test,0.15053214132785797,0.0013934251619502902,1.0,0.02111038751900196,0.5658517479896545,0.04157614707946777,0.04126171875,0.15053214132785797
RegretNetSystem,5,2,1,train,0.06499356776475906,0.014176257885992527,1.0,0.03575547784566879,0.22282274067401886,10.314384937286377,0.0820673828125,inf
RegretNetSystem,5,2,1,test,0.12557284533977509,0.004411355126649141,1.0,0.04732125252485275,0.6423725485801697,0.038599252700805664,0.041265625,inf
RegretNetSystem,5,3,1,train,0.04066915810108185,0.009670711122453213,1.0,0.01973261870443821,0.14772139489650726,9.576398372650146,0.0820859375,inf
RegretNetSystem,5,3,1,test,0.08311524987220764,0.004918793682008982,1.0,0.03217087313532829,0.4254090487957001,0.042208194732666016,0.04126953125,inf
RegretNetSystem,5,4,1,train,0.02990666776895523,0.012606987729668617,1.0,0.013678440824151039,0.10400264710187912,9.34954833984375,0.082109375,inf
RegretNetSystem,5,4,1,test,0.06453663110733032,0.004222994204610586,1.0,0.02424858883023262,0.33072710037231445,0.044132232666015625,0.0412744140625,inf
RegretNetSystem,9,1,1,train,0.2116534411907196,0.009144973941147327,1.0,0.050812095403671265,1.3611655235290527,10.876733779907227,0.1193173828125,inf
RegretNetSystem,9,1,1,test,0.2491164356470108,0.0023201412986963987,1.0,0.05781220272183418,1.6646199226379395,0.03863191604614258,0.061033203125,0.2491164356470108
RegretNetSystem,9,2,1,train,0.07699790596961975,0.009458418004214764,1.0,0.019180836156010628,0.36994704604148865,11.11769413948059,0.1193515625,inf
RegretNetSystem,9,2,1,test,0.1285196840763092,0.0033441726118326187,1.0,0.031242735683918,0.8607217669487,0.03738713264465332,0.061037109375,inf
