model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.15034642815589905,0.0002466703299432993,1.0,0.006860516965389252,0.5714381337165833,114.1656424999237,0.808359375,0.15034642815589905
RegretNetSystem,5,1,1,test,0.14983217418193817,0.00026923243422061205,1.0,0.0071696131490170956,0.5694546103477478,0.03817272186279297,0.644599609375,0.14983217418193817
RegretNetSystem,5,2,1,train,0.06261972337961197,0.00029936988721601665,1.0,0.008418754674494267,0.23610356450080872,113.40636014938354,0.8084375,0.06261972337961197
RegretNetSystem,5,2,1,test,0.06319761276245117,0.00034638275974430144,1.0,0.008978473022580147,0.23869822919368744,0.03430461883544922,0.644677734375,0.06319761276245117
RegretNetSystem,5,3,1,train,0.039057984948158264,0.0011949361069127917,1.0,0.010998568497598171,0.1452731341123581,113.61109495162964,0.8085546875,0.039057984948158264
RegretNetSystem,5,3,1,test,0.039119653403759,0.0008764651138335466,1.0,0.010055274702608585,0.1472461074590683,0.03191256523132324,0.644716796875,0.039119653403759
RegretNetSystem,5,4,1,train,0.031355198472738266,0.0005351085565052927,1.0,0.01021245401352644,0.11260691285133362,112.23401832580566,0.808623046875,0.031355198472738266
RegretNetSystem,5,4,1,test,0.03084792010486126,0.00026009397697634995,1.0,0.0064707729034125805,0.11363581568002701,0.04230451583862305,0.64484375,0.03084792010486126
RegretNetSystem,9,1,1,train,0.2162100076675415,0.0004422798228915781,1.0,0.04139828309416771,1.3611725568771362,111.46942830085754,1.250205078125,0.2162100076675415
RegretNetSystem,9,1,1,test,0.20961564779281616,0.0014146124012768269,1.0,0.04426688700914383,1.3053932189941406,0.03870272636413574,1.073232421875,0.20961564779281616
RegretNetSystem,9,2,1,train,0.07897630333900452,0.0015197148313745856,1.0,0.016252297908067703,0.38278451561927795,110.26996183395386,1.250283203125,0.07897630333900452
RegretNetSystem,9,2,1,test,0.0775611475110054,0.0014011714374646544,1.0,0.014685729518532753,0.3684050440788269,0.03455662727355957,1.073310546875,0.0775611475110054
RegretNetSystem,9,3,1,train,0.048884741961956024,0.0020032802131026983,1.0,0.013727301731705666,0.20993994176387787,108.5361762046814,1.250400390625,0.048884741961956024
RegretNetSystem,9,3,1,test,0.046532582491636276,0.0007661121198907495,1.0,0.007595514412969351,0.20922252535820007,0.036093950271606445,1.073349609375,0.046532582491636276
RegretNetSystem,9,4,1,train,0.03672642260789871,0.0022777782287448645,1.0,0.009769362397491932,0.1553540974855423,108.59700751304626,1.25046875,0.03672642260789871
RegretNetSystem,9,4,1,test,0.03391755372285843,0.0010252289939671755,1.0,0.008906980976462364,0.14605823159217834,0.035666465759277344,1.0734765625,0.03391755372285843
RegretNetSystem,10,1,1,train,0.21598468720912933,0.0009542625630274415,1.0,0.04494498670101166,1.318818211555481,120.80591106414795,1.372451171875,0.21598468720912933
RegretNetSystem,10,1,1,test,0.21507258713245392,0.0013677929528057575,1.0,0.040038056671619415,1.332066297531128,0.05059552192687988,1.20865234375,0.21507258713245392
RegretNetSystem,10,2,1,train,0.08461085706949234,0.001565279089845717,1.0,0.015663161873817444,0.3935401141643524,108.87044262886047,1.372529296875,0.08461085706949234
RegretNetSystem,10,2,1,test,0.08277181535959244,0.0009225350222550333,1.0,0.012575965374708176,0.39337483048439026,0.03556060791015625,1.20873046875,0.08277181535959244
RegretNetSystem,10,3,1,train,0.05103037506341934,0.001971549354493618,1.0,0.011654001660645008,0.21093346178531647,118.23580431938171,1.372646484375,0.05103037506341934
RegretNetSystem,10,3,1,test,0.04871956631541252,0.0010292105143889785,1.0,0.008118794299662113,0.2128351777791977,0.04010915756225586,1.20876953125,0.04871956631541252
RegretNetSystem,10,4,1,train,0.03963940218091011,0.001296965405344963,1.0,0.010217047296464443,0.1674228459596634,119.31030178070068,1.37271484375,0.03963940218091011
RegretNetSystem,10,4,1,test,0.03735782206058502,0.0007305405451916158,1.0,0.007378565147519112,0.16275107860565186,0.03827834129333496,1.208896484375,0.03735782206058502
