model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.15034642815589905,0.0002466703299432993,1.0,0.006860516965389252,0.5714381337165833,114.1656424999237,0.808359375,0.15034642815589905
RegretNetSystem,5,1,1,test,0.14983217418193817,0.00026923243422061205,1.0,0.0071696131490170956,0.5694546103477478,0.03817272186279297,0.644599609375,0.14983217418193817
RegretNetSystem,5,2,1,train,0.0640711858868599,0.000812582962680608,1.0,0.02190118283033371,0.23846952617168427,112.55891180038452,0.8084765625,0.0640711858868599
RegretNetSystem,5,2,1,test,0.06083955988287926,0.0016382066532969475,1.0,0.01634778082370758,0.23326432704925537,0.04355216026306152,0.644638671875,0.06083955988287926
RegretNetSystem,5,3,1,train,0.04169124737381935,0.0003207986883353442,1.0,0.011486390605568886,0.15031659603118896,115.21753740310669,0.8085546875,0.04169124737381935
RegretNetSystem,5,3,1,test,0.03792408108711243,0.002606809139251709,1.0,0.01125191617757082,0.14199422299861908,0.03893280029296875,0.644716796875,0.03792408108711243
RegretNetSystem,5,4,1,train,0.03003815934062004,0.0011407914571464062,1.0,0.008553188294172287,0.10919314622879028,115.77790760993958,0.808623046875,0.03003815934062004
RegretNetSystem,5,4,1,test,0.0287336353212595,0.001518364530056715,1.0,0.008545050397515297,0.10569562017917633,0.042223453521728516,0.64484375,0.0287336353212595
RegretNetSystem,9,1,1,train,0.21642239391803741,0.00042358055361546576,1.0,0.043237946927547455,1.3599480390548706,117.06255793571472,1.25021484375,0.21642239391803741
RegretNetSystem,9,1,1,test,0.2090088427066803,0.002284739166498184,1.0,0.044159501791000366,1.3020052909851074,0.03629589080810547,1.0732421875,0.2090088427066803
RegretNetSystem,9,2,1,train,0.07797031104564667,0.0015808941097930074,1.0,0.01449589617550373,0.3657221794128418,111.17653203010559,1.250322265625,0.07797031104564667
RegretNetSystem,9,2,1,test,0.07668881863355637,0.0027331572491675615,1.0,0.016972657293081284,0.35052749514579773,0.04134678840637207,1.073271484375,0.07668881863355637
RegretNetSystem,9,3,1,train,0.048884741961956024,0.0020032802131026983,1.0,0.013727301731705666,0.20993994176387787,108.5361762046814,1.250400390625,0.048884741961956024
RegretNetSystem,9,3,1,test,0.046532582491636276,0.0007661121198907495,1.0,0.007595514412969351,0.20922252535820007,0.036093950271606445,1.073349609375,0.046532582491636276
RegretNetSystem,9,4,1,train,0.03421410918235779,0.0010791864478960633,1.0,0.008736885152757168,0.14833396673202515,112.30176711082458,1.2505078125,0.03421410918235779
RegretNetSystem,9,4,1,test,0.033428315073251724,0.0011172376107424498,1.0,0.00807691365480423,0.1446472704410553,0.05365800857543945,1.0734375,0.033428315073251724
RegretNetSystem,10,1,1,train,0.21539872884750366,0.0004217658715788275,1.0,0.03590922802686691,1.3324555158615112,109.66115045547485,1.372490234375,0.21539872884750366
RegretNetSystem,10,1,1,test,0.21463142335414886,0.0029432254377752542,1.0,0.044187355786561966,1.3190298080444336,0.03486299514770508,1.20861328125,0.21463142335414886
RegretNetSystem,10,2,1,train,0.08370993286371231,0.0017214707331731915,1.0,0.013643389567732811,0.386678546667099,111.4290931224823,1.372568359375,0.08370993286371231
RegretNetSystem,10,2,1,test,0.0815577581524849,0.002282384317368269,1.0,0.01519706379622221,0.36830148100852966,0.04277944564819336,1.20869140625,0.0815577581524849
RegretNetSystem,10,3,1,train,0.05103037506341934,0.001971549354493618,1.0,0.011654001660645008,0.21093346178531647,118.23580431938171,1.372646484375,0.05103037506341934
RegretNetSystem,10,3,1,test,0.04871956631541252,0.0010292105143889785,1.0,0.008118794299662113,0.2128351777791977,0.04010915756225586,1.20876953125,0.04871956631541252
RegretNetSystem,10,4,1,train,0.03957957774400711,0.0032165441662073135,1.0,0.01138919685035944,0.14978137612342834,112.65010523796082,1.37275390625,inf
