Model,n,k,d,MeanSC,StdSC,MinSC,MaxSC,MaxRegret,TrainTime,TestTime,MaxMemoryPerSample
ConstantRuleSystem,5,1,1,0.253258109,0.12775217,0.084324218,0.429363817,nan,0.267365932,0.142600775,0.00023125
ConstantRuleSystem,5,2,1,0.125952959,0.064184435,0.04138213,0.214460894,nan,0.265699625,0.145958662,0.00023125
ConstantRuleSystem,5,3,1,0.086637914,0.04532906,0.027982248,0.150845379,nan,0.291643858,0.140972137,0.000231641
ConstantRuleSystem,5,4,1,0.064717859,0.034478389,0.020546824,0.114333667,nan,0.334001541,0.128656864,0.000270313
DictatorRuleSystem,5,1,1,0.266941845,0.212424189,0,0.566628337,nan,0.253010988,0.124687195,0.00023125
DictatorRuleSystem,5,2,1,0.124929763,0.13748908,0,0.341717839,nan,0.272633076,0.145973682,0.00023125
DictatorRuleSystem,5,3,1,0.058839917,0.086012587,0,0.210910231,nan,0.271999359,0.162726402,0.000242969
DictatorRuleSystem,5,4,1,0.023397794,0.046795588,0,0.116988979,nan,0.25796628,0.123999834,0.000284961
FFNetSystem,5,1,1,0.209515851,0.144471805,0.043967377,0.437862401,nan,77.24401129,0.127138054,0.00105166
FFNetSystem,5,2,1,0.090510782,0.056589896,0.02521866,0.178432727,nan,97.71241628,0.133973086,0.00105166
FFNetSystem,5,3,1,0.05708645,0.038273421,0.013191862,0.116289917,nan,103.28399,0.117848873,0.00105166
FFNetSystem,5,4,1,0.048781039,0.030321361,0.012591551,0.094450635,nan,108.0229639,0.123764324,0.001052246
MoulinNetSystem,5,1,1,0.198340595,0.168175876,0.000167867,0.453324407,nan,33.6618073,0.139000177,0.000766992
MoulinNetSystem,5,2,1,0.083099656,0.08702565,0.000339179,0.227473438,nan,36.15859604,0.099005222,0.001358496
MoulinNetSystem,5,3,1,0.033407085,0.049707819,2.50E-06,0.124178246,nan,51.30017257,0.140002012,0.001931348
MoulinNetSystem,5,4,1,0.016756643,0.029702991,1.27E-07,0.074283838,nan,73.96444249,0.144030571,0.002274609
NonSPRuleSystem,5,1,1,0.199219093,0.169075176,0,0.455134571,nan,0.274837971,0.135000467,0.000230762
NonSPRuleSystem,5,2,1,0.070758015,0.079986915,0,0.203072906,nan,0.31732583,0.171635866,0.00023623
NonSPRuleSystem,5,3,1,0.028000949,0.04009217,0,0.098002225,nan,0.338079214,0.182173491,0.000262891
NonSPRuleSystem,5,4,1,0.008363211,0.016726421,0,0.041816052,nan,0.2749753,0.13465333,0.000308691
PercentileRuleSystem,5,1,1,0.199653551,0.169957176,0,0.457992077,nan,0.257375956,0.12668848,0.000311719
PercentileRuleSystem,5,2,1,0.083559595,0.095515452,0,0.241831988,nan,0.267994642,0.150736094,0.00033457
PercentileRuleSystem,5,3,1,0.033234522,0.049964219,0,0.124095254,nan,0.262999773,0.163669348,0.000357422
PercentileRuleSystem,5,4,1,0.01695987,0.03391974,0,0.084799349,nan,0.25900054,0.135148287,0.000399414
RegretNetSystem,5,1,1,0.21288985,0.158742577,0.021966051,0.448853582,0.00190746,371.050056,0.06469655,0.120322266
RegretNetSystem,5,2,1,0.092236266,0.088400148,0.003997589,0.230689213,0.002448521,376.2940512,0.079289198,0.120326172
RegretNetSystem,5,3,1,0.04476383,0.057816353,0.000952109,0.145634711,0.002771941,386.7322202,0.068000793,0.120330078
RegretNetSystem,5,4,1,0.039915297,0.039932288,0.001614405,0.103410557,0.002696559,384.9167228,0.069000244,0.120335938
